scenario,n,lambda_median,c_td_mean,c_td_se,rmise_mean,rmise_se,change_points_mean,true_positive,detected,truth,precision,recall,f1
oracle,20,0.03,0.7023467203643391,0.0017153326991384509,0.0970164179589226,0.008134217035386618,6.3,66,126,80,0.5238095238095238,0.825,0.6407766990291262
fine_grid,20,0.065,0.7020138949069799,0.0019013434335099994,0.11383827608691725,0.007520606636650439,5.25,50,105,80,0.47619047619047616,0.625,0.5405405405405405
off_grid,20,0.1,0.6920218244110768,0.001896394622505675,0.14104533299659458,0.00696288551143803,5.0,42,100,80,0.42,0.525,0.4666666666666666
small,20,0.1,0.6831893307074458,0.0018615578167836021,0.08670997227030694,0.0021441330225680697,0.4,7,8,80,0.875,0.0875,0.15909090909090906
no_change,20,0.1,0.6684184388725232,0.0018671697809149522,0.02498738619528173,0.001992679788060466,0.0,0,0,0,,,
