"variable","coefficient","time_ratio"
"age",NA,NA
"sex_male",NA,NA
"race_black",NA,NA
"race_hispanic",NA,NA
"race_asian",NA,NA
"race_other",NA,NA
"num.co",NA,NA
"diabetes",NA,NA
"dementia",NA,NA
"ca_yes",NA,NA
"ca_metastatic",NA,NA
"meanbp",NA,NA
"hrt",NA,NA
"resp",NA,NA
"temp",NA,NA
"wblc",NA,NA
"sod",NA,NA
"crea",NA,NA
