scenario,n,lambda_changed_rate,refined_boundary_rate,delta_lambda_fuse_mean,delta_lambda_fuse_se,delta_cv_mean_c_td_mean,delta_cv_mean_c_td_se,delta_c_td_test_mean,delta_c_td_test_se,delta_rmise_mean,delta_rmise_se,delta_detected_mean,delta_detected_se,delta_true_positive_mean,delta_true_positive_se
oracle,20,0.9,0.0,0.005245337840391966,0.0029695973614719466,0.0007941962616840936,0.00011909206989633028,-0.0001360811477623014,0.0003657967858823078,0.017654743700001717,0.007321723094188708,1.05,0.8720061564244287,-0.1,0.09999999999999999
fine_grid,20,0.85,0.0,-0.003356708781027945,0.005579778053427009,0.0011458007235698564,0.0002009299552033843,0.00016421614959128973,0.00043476458590438406,0.01404210825267807,0.010812699735732576,-1.5,2.0513153674757336,0.05,0.19834844406538177
off_grid,18,0.8333333333333334,0.05555555555555555,0.0002820940164176725,0.0018579208714285726,0.000757185545127412,0.00017319187322200312,-9.11154365995031e-06,0.000342258965868395,-0.000469257932006071,0.004887421338851916,-1.0555555555555556,1.7628560869089063,0.0,0.08084520834544434
small,16,0.75,0.0625,0.026845366193683894,0.032397048034818195,0.00046286002776237123,0.00011304368789048762,0.0005206151328236985,0.0003834075799975689,-0.009085861018313934,0.011872325195135746,0.0625,2.2443795542049774,0.1875,0.13597640726733934
no_change,20,0.9,0.3,0.14795661460935927,0.05416870321132873,0.0003113840783463162,0.00010833391836093766,0.00023476801098513134,0.00019150250803042545,-0.013730129349578912,0.00998576046903721,-0.65,0.8152332569012961,0.0,0.0
