data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,primal_tolerance_last,dual_tolerance_last,returned_iter,returned_from,returned_objective,returned_neg_loglik,returned_primal_residual,returned_dual_residual,returned_primal_tolerance,returned_dual_tolerance,stopping_reason,n_admm_iter,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,converged,bic_eligible,bic,rho,max_admm_iter,clip_eta
oracle_seed_56,0.0124573093961552,12.4573093961552,1000,1000,3,1499.9448994198324,1482.8414736847603,1.5515838457795457e-17,0.0,0.0008869174473862279,0.053276151764873346,63,converged_iterate,1499.9448994198324,1482.8414736847603,1.5515838457795457e-17,0.0,0.0008869174473862279,0.053276151764873346,residual_converged,64,0.6960833516945348,0.7088907094470666,0.6960833516945348,15,26,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_56/lambda_0.0124573093961552/result.json,True,True,3145.284584623056,1.0,1000,20
off_grid_seed_51,0.0,0.0,1000,1000,3,1509.303595011641,1509.303595011641,0.0,0.0,0.0015255648519658781,0.0006000000000000001,4,converged_iterate,1509.303595011641,1509.303595011641,0.0,0.0,0.0015255648519658781,0.0006000000000000001,residual_converged,5,0.6869719350073855,0.7074425313813952,0.6869719350073855,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_51/lambda_0/result.json,True,True,3322.548422298496,1.0,1000,20
off_grid_seed_61,0.0215766927997459,21.5766927997459,1000,1000,3,1512.340857880073,1495.2065639647751,0.000683971931732971,0.0,0.0008536212222449861,0.11494503471523317,192,converged_iterate,1512.340857880073,1495.2065639647751,0.000683971931732971,0.0,0.0008536212222449861,0.11494503471523317,residual_converged,193,0.6909073063403682,0.7194663415071795,0.6909073063403682,18,29,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_61/lambda_0.0215766927997459/result.json,True,True,3190.7380310200324,1.0,1000,20
fine_grid_seed_47,0.001,1.0,1000,1000,3,1514.593318607489,1510.366523674845,6.359601310784502e-17,0.0,0.001557327537059751,0.010086832980505138,33,converged_iterate,1514.593318607489,1510.366523674845,6.359601310784502e-17,0.0,0.001557327537059751,0.010086832980505138,residual_converged,34,0.686469592500696,0.7008195216669454,0.686469592500696,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_47/lambda_0.001/result.json,True,True,3324.674279624904,1.0,1000,20
fine_grid_seed_55,0.03,30.0,1000,1000,3,1517.44756066292,1482.0359859130447,0.000481140760299527,0.0,0.0010390540441979098,0.1141986021141885,141,converged_iterate,1517.44756066292,1482.0359859130447,0.000481140760299527,0.0,0.0010390540441979098,0.1141986021141885,residual_converged,142,0.7071458840978917,0.7143400976268689,0.7071458840978917,17,28,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_55/lambda_0.03/result.json,True,True,3157.4891196375893,1.0,1000,20
off_grid_seed_56,0.01,10.0,1000,1000,3,1517.4715044909663,1493.326917671128,0.0009870525615406573,0.012425084570943516,0.0011721922825843755,0.07031249731456951,147,converged_iterate,1517.4715044909663,1493.326917671128,0.0009870525615406573,0.012425084570943516,0.0011721922825843755,0.07031249731456951,residual_converged,148,0.6850710620381579,0.6991530001732731,0.6850710620381579,25,36,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_56/lambda_0.01/result.json,True,True,3235.333025385613,1.0,1000,20
oracle_seed_55,0.0381677890961818,38.1677890961818,1000,1000,3,1522.3860920086745,1496.5205585462013,0.0002454339647077103,0.024872510818590418,0.0007667440651019456,0.09027801237786087,111,converged_iterate,1522.3860920086745,1496.5205585462013,0.0002454339647077103,0.024872510818590418,0.0007667440651019456,0.09027801237786087,residual_converged,112,0.7080362163527754,0.714430151761684,0.7080362163527754,6,17,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_55/lambda_0.0381677890961818/result.json,True,True,3110.472956835099,1.0,1000,20
oracle_seed_53,0.0215766927997459,21.5766927997459,1000,1000,3,1525.9317870894597,1504.0632513873516,0.00013373473659744617,1.797546735911271e-13,0.0008209068829548635,0.11290497798076074,65,converged_iterate,1525.9317870894597,1504.0632513873516,0.00013373473659744617,1.797546735911271e-13,0.0008209068829548635,0.11290497798076074,residual_converged,66,0.7006219948849105,0.705765839655526,0.7006219948849105,14,25,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_53/lambda_0.0215766927997459/result.json,True,True,3180.8203847492564,1.0,1000,20
off_grid_seed_46,0.0011161231740339,1.1161231740339,1000,1000,3,1528.1432902054453,1522.7683183623176,1.0927381047259614e-16,0.0,0.0017464765053891885,0.01070692520247734,36,converged_iterate,1528.1432902054453,1522.7683183623176,1.0927381047259614e-16,0.0,0.0017464765053891885,0.01070692520247734,residual_converged,37,0.6863663497250615,0.7069855285649381,0.6863663497250615,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_46/lambda_0.0011161231740339/result.json,True,True,3349.4778689998493,1.0,1000,20
fine_grid_seed_56,0.0124573093961552,12.4573093961552,1000,1000,3,1530.417301689671,1485.5087503801053,0.0010535306416601953,0.0,0.0014646020808093568,0.09734576125550691,98,converged_iterate,1530.417301689671,1485.5087503801053,0.0010535306416601953,0.0,0.0014646020808093568,0.09734576125550691,residual_converged,99,0.6963240874482827,0.7091964001858599,0.6963240874482827,28,39,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_56/lambda_0.0124573093961552/result.json,True,True,3240.419956640514,1.0,1000,20
oracle_seed_58,0.01,10.0,1000,1000,3,1532.0120247915197,1517.6544493779154,0.0004179001394636894,0.017185879129429593,0.0010038995187118948,0.05054956276471917,82,converged_iterate,1532.0120247915197,1517.6544493779154,0.0004179001394636894,0.017185879129429593,0.0010038995187118948,0.05054956276471917,residual_converged,83,0.7072168566054211,0.6923277635197254,0.7072168566054211,14,25,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_58/lambda_0.01/result.json,True,True,3208.002780730384,1.0,1000,20
oracle_seed_42,0.0430511620249934,43.0511620249934,1000,1000,3,1533.344213003333,1499.6182743335512,0.00033097199417120304,0.0,0.0008084470788607094,0.18310820446277762,138,converged_iterate,1533.344213003333,1499.6182743335512,0.00033097199417120304,0.0,0.0008084470788607094,0.18310820446277762,residual_converged,139,0.6988416041841176,0.7243891524948396,0.6988416041841176,14,25,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_42/lambda_0.0430511620249934/result.json,True,True,3171.9304306416557,1.0,1000,20
off_grid_seed_55,0.0139038917031591,13.9038917031591,1000,1000,3,1535.3605386929607,1507.0190346338654,8.498374721940739e-18,0.0,0.0011199552593720982,0.09891536108187177,107,converged_iterate,1535.3605386929607,1507.0190346338654,8.498374721940739e-18,0.0,0.0011199552593720982,0.09891536108187177,residual_converged,108,0.698432280247464,0.7085749191989769,0.698432280247464,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_55/lambda_0.0139038917031591/result.json,True,True,3317.979301542945,1.0,1000,20
off_grid_seed_60,0.011161231740339,11.161231740339002,1000,1000,3,1536.5769119467,1503.9155551622462,0.0010450738382779612,0.059125886279617255,0.0014051829621835907,0.08247760641591038,72,converged_iterate,1536.5769119467,1503.9155551622462,0.0010450738382779612,0.059125886279617255,0.0014051829621835907,0.08247760641591038,residual_converged,73,0.7013726412500992,0.6898939574933035,0.7013726412500992,25,36,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_60/lambda_0.011161231740339/result.json,True,True,3256.510300367849,1.0,1000,20
oracle_seed_45,0.033838346190165,33.838346190165,1000,1000,3,1538.0686013543364,1507.1434557631856,0.0007827726036558399,0.03946887788117053,0.0008805881525505996,0.10499781919465377,173,converged_iterate,1538.0686013543364,1507.1434557631856,0.0007827726036558399,0.03946887788117053,0.0008805881525505996,0.10499781919465377,residual_converged,174,0.7056902966027288,0.6912367512752375,0.7056902966027288,5,16,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_45/lambda_0.033838346190165/result.json,True,True,3124.8109959900853,1.0,1000,20
off_grid_seed_49,0.0003,0.3,1000,1000,3,1538.6690228447872,1537.3855519948588,2.8185920280518337e-17,0.0,0.0015247369174989714,0.0031099800796022268,34,converged_iterate,1538.6690228447872,1537.3855519948588,2.8185920280518337e-17,0.0,0.0015247369174989714,0.0031099800796022268,residual_converged,35,0.6842273392244195,0.7047410542108503,0.6842273392244195,33,44,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_49/lambda_0.0003/result.json,True,True,3378.7123362649318,1.0,1000,20
off_grid_seed_45,0.0173205080756888,17.3205080756888,1000,1000,3,1538.7765775512753,1515.0762194586564,0.0008935845100708991,0.04817216235530856,0.0010138076912959847,0.09522615748436468,442,converged_iterate,1538.7765775512753,1515.0762194586564,0.0008935845100708991,0.04817216235530856,0.0010138076912959847,0.09522615748436468,residual_converged,443,0.700457942361301,0.6872720084451128,0.700457942361301,17,28,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/off_grid_seed_45/lambda_0.0173205080756888/result.json,True,True,3223.5695867288127,1.0,1000,20
fine_grid_seed_49,0.00022,0.22,1000,1000,3,1540.4516110991678,1539.503119389699,0.0010224398282897562,1.5700924586837752e-16,0.0015689515878709388,0.002246583221875523,14,converged_iterate,1540.4516110991678,1539.503119389699,0.0010224398282897562,1.5700924586837752e-16,0.0015689515878709388,0.002246583221875523,residual_converged,15,0.6891616041355029,0.7093547590323325,0.6891616041355029,32,43,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_49/lambda_0.00022/result.json,True,True,3376.0397157756297,1.0,1000,20
fine_grid_seed_53,0.0547722557505166,54.7722557505166,1000,1000,3,1541.5881812479797,1514.233055885213,0.0006560899272015904,0.0,0.0008949137791753072,0.15530540286890204,242,converged_iterate,1541.5881812479797,1514.233055885213,0.0006560899272015904,0.0,0.0008949137791753072,0.15530540286890204,residual_converged,243,0.6987744245524297,0.7052819356161575,0.6987744245524297,6,17,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_53/lambda_0.0547722557505166/result.json,True,True,3145.8979515131223,1.0,1000,20
oracle_seed_51,0.0617800850567412,61.7800850567412,1000,1000,3,1542.291301803992,1512.218059327777,0.00016402961262548658,0.009068921776968924,0.0006757717064244762,0.14550886917999167,147,converged_iterate,1542.291301803992,1512.218059327777,0.00016402961262548658,0.009068921776968924,0.0006757717064244762,0.14550886917999167,residual_converged,148,0.6930834589026432,0.7162154134206273,0.6930834589026432,4,15,pilot_cv_refined_refit/adaptive_rho_normalized_stagnation_escape_newton5/oracle_seed_51/lambda_0.0617800850567412/result.json,True,True,3128.052447840286,1.0,1000,20
