lambda_fuse,n_runs,iae_mean_median,iae_mean_q1,iae_mean_q3,ise_mean_median,ise_mean_q1,ise_mean_q3
1.0,100,0.5201500593324824,0.42071804626752435,0.7658651460477692,0.08156413000582671,0.04866913341110577,0.2144827174101879
1.801648230654411,100,0.5301469426299501,0.4055105892795128,0.8041257380665929,0.0817098027428139,0.046917546822546716,0.24215039021352536
3.24593634702017,100,0.4930764609059237,0.3862010408378887,0.6519604931057545,0.06665837164997146,0.04419110605752956,0.12987489484854262
5.848035476425731,100,0.440597080170765,0.36038081349468765,0.6782443251140995,0.05871930038181034,0.03710874401761703,0.19902551352209683
10.536102768906645,100,0.4452839288617938,0.35527595896583797,0.6422885073097727,0.05272650484913373,0.03456027251535523,0.0992056353844408
18.982350911593695,100,0.5359275011835671,0.38582937234223486,0.6477382484908852,0.0720327997319129,0.040728093115571344,0.10007988441310027
34.19951893353393,100,0.667163339914808,0.5786129265559445,0.7539820855688077,0.09659673385041026,0.0746477602619174,0.12432729868893244
61.615502775833434,100,0.903785483573318,0.8023866411643036,0.986108695150706,0.17106685081222578,0.1332347103021173,0.19704782130675927
111.00946155696226,100,1.2078926722416612,1.1391131596828166,1.2746209540856765,0.28970374835614376,0.2509302250536605,0.3137918339040305
200.0,100,1.4417188727695658,1.3654895172875186,1.5304534677128114,0.40393841983929424,0.3664174263096186,0.4508300644563558
