data_name,data_path,n_samples,n_features,n_events,c_td_cox,c_index_harrell
extended_aft_step_seed_55,data/extended_aft_step/extended_aft_step_seed_55.csv,1000,3,871,0.8093701587275737,0.8093701587275737
extended_aft_step_seed_56,data/extended_aft_step/extended_aft_step_seed_56.csv,1000,3,881,0.8050941936427161,0.8050941936427161
extended_aft_step_seed_57,data/extended_aft_step/extended_aft_step_seed_57.csv,1000,3,893,0.7993305008890202,0.7993305008890202
extended_aft_step_seed_58,data/extended_aft_step/extended_aft_step_seed_58.csv,1000,3,882,0.7971235757964577,0.7971235757964577
extended_aft_step_seed_59,data/extended_aft_step/extended_aft_step_seed_59.csv,1000,3,884,0.813156196606345,0.813156196606345
extended_aft_step_seed_60,data/extended_aft_step/extended_aft_step_seed_60.csv,1000,3,882,0.8046227870716258,0.8046227870716258
extended_aft_step_seed_61,data/extended_aft_step/extended_aft_step_seed_61.csv,1000,3,877,0.8169585234721982,0.8169585234721982
extended_aft_step_seed_62,data/extended_aft_step/extended_aft_step_seed_62.csv,1000,3,877,0.8074877940704184,0.8074877940704184
extended_aft_step_seed_63,data/extended_aft_step/extended_aft_step_seed_63.csv,1000,3,868,0.8133199138600204,0.8133199138600204
extended_aft_step_seed_64,data/extended_aft_step/extended_aft_step_seed_64.csv,1000,3,871,0.8101042919931517,0.8101042919931517
extended_aft_step_seed_65,data/extended_aft_step/extended_aft_step_seed_65.csv,1000,3,874,0.8126518008616797,0.8126518008616797
extended_aft_step_seed_66,data/extended_aft_step/extended_aft_step_seed_66.csv,1000,3,875,0.8115695924509884,0.8115695924509884
extended_aft_step_seed_67,data/extended_aft_step/extended_aft_step_seed_67.csv,1000,3,885,0.8113873588752625,0.8113873588752625
extended_aft_step_seed_68,data/extended_aft_step/extended_aft_step_seed_68.csv,1000,3,890,0.7995472903279409,0.7995472903279409
extended_aft_step_seed_69,data/extended_aft_step/extended_aft_step_seed_69.csv,1000,3,855,0.8141327264064324,0.8141327264064324
extended_aft_step_seed_70,data/extended_aft_step/extended_aft_step_seed_70.csv,1000,3,888,0.8131198657075897,0.8131198657075897
extended_aft_step_seed_71,data/extended_aft_step/extended_aft_step_seed_71.csv,1000,3,880,0.8109798330012451,0.8109798330012451
extended_aft_step_seed_72,data/extended_aft_step/extended_aft_step_seed_72.csv,1000,3,867,0.8159542208744986,0.8159542208744986
extended_aft_step_seed_73,data/extended_aft_step/extended_aft_step_seed_73.csv,1000,3,889,0.8101126761134342,0.8101126761134342
extended_aft_step_seed_74,data/extended_aft_step/extended_aft_step_seed_74.csv,1000,3,879,0.812374036992491,0.812374036992491
extended_aft_step_seed_75,data/extended_aft_step/extended_aft_step_seed_75.csv,1000,3,889,0.8059042908972982,0.8059042908972982
extended_aft_step_seed_76,data/extended_aft_step/extended_aft_step_seed_76.csv,1000,3,882,0.8074534539777537,0.8074534539777537
extended_aft_step_seed_77,data/extended_aft_step/extended_aft_step_seed_77.csv,1000,3,869,0.8105051755954684,0.8105051755954684
extended_aft_step_seed_78,data/extended_aft_step/extended_aft_step_seed_78.csv,1000,3,886,0.8088039624524368,0.8088039624524368
extended_aft_step_seed_79,data/extended_aft_step/extended_aft_step_seed_79.csv,1000,3,850,0.8209778065398723,0.8209778065398723
extended_aft_step_seed_80,data/extended_aft_step/extended_aft_step_seed_80.csv,1000,3,895,0.8003862199631998,0.8003862199631998
extended_aft_step_seed_81,data/extended_aft_step/extended_aft_step_seed_81.csv,1000,3,867,0.8245725942697368,0.8245725942697368
extended_aft_step_seed_82,data/extended_aft_step/extended_aft_step_seed_82.csv,1000,3,889,0.800492121595382,0.800492121595382
extended_aft_step_seed_83,data/extended_aft_step/extended_aft_step_seed_83.csv,1000,3,885,0.8137834076514527,0.8137834076514527
extended_aft_step_seed_84,data/extended_aft_step/extended_aft_step_seed_84.csv,1000,3,879,0.8132734139617283,0.8132734139617283
extended_aft_step_seed_85,data/extended_aft_step/extended_aft_step_seed_85.csv,1000,3,872,0.8131376759237587,0.8131376759237587
extended_aft_step_seed_86,data/extended_aft_step/extended_aft_step_seed_86.csv,1000,3,874,0.8042320077626137,0.8042320077626137
extended_aft_step_seed_87,data/extended_aft_step/extended_aft_step_seed_87.csv,1000,3,867,0.8112457738169235,0.8112457738169235
extended_aft_step_seed_88,data/extended_aft_step/extended_aft_step_seed_88.csv,1000,3,888,0.8030994487571186,0.8030994487571186
extended_aft_step_seed_89,data/extended_aft_step/extended_aft_step_seed_89.csv,1000,3,873,0.8205862245769954,0.8205862245769954
extended_aft_step_seed_90,data/extended_aft_step/extended_aft_step_seed_90.csv,1000,3,880,0.8056015956971425,0.8056015956971425
extended_aft_step_seed_91,data/extended_aft_step/extended_aft_step_seed_91.csv,1000,3,894,0.8115551182298025,0.8115551182298025
extended_aft_step_seed_92,data/extended_aft_step/extended_aft_step_seed_92.csv,1000,3,877,0.8164205741976924,0.8164205741976924
extended_aft_step_seed_93,data/extended_aft_step/extended_aft_step_seed_93.csv,1000,3,885,0.8077416213584354,0.8077416213584354
extended_aft_step_seed_94,data/extended_aft_step/extended_aft_step_seed_94.csv,1000,3,889,0.8041631618951102,0.8041631618951102
extended_aft_step_seed_95,data/extended_aft_step/extended_aft_step_seed_95.csv,1000,3,876,0.815852019623909,0.815852019623909
extended_aft_step_seed_96,data/extended_aft_step/extended_aft_step_seed_96.csv,1000,3,870,0.8093344329393078,0.8093344329393078
extended_aft_step_seed_97,data/extended_aft_step/extended_aft_step_seed_97.csv,1000,3,878,0.8094475547923631,0.8094475547923631
extended_aft_step_seed_98,data/extended_aft_step/extended_aft_step_seed_98.csv,1000,3,913,0.8112926652142338,0.8112926652142338
extended_aft_step_seed_99,data/extended_aft_step/extended_aft_step_seed_99.csv,1000,3,886,0.8086144684614152,0.8086144684614152
