data_name,lambda_fuse,result_path,iae_mean,ise_mean,iae_sum,ise_sum,iae_x1,iae_x2,iae_x3,ise_x1,ise_x2,ise_x3
extended_aft_step_seed_100,1.0,outputs/lambda_experiments/extended_aft_step_seed_100/lambda_1.0/result.json,0.6751461207540862,0.21631062332066983,2.0254383622622587,0.6489318699620095,1.2322614000118188,0.25278171685774176,0.5403952453926979,0.5148767644378522,0.019282102937770496,0.11477300258638665
extended_aft_step_seed_101,1.0,outputs/lambda_experiments/extended_aft_step_seed_101/lambda_1.0/result.json,1.2103944199886356,0.407377700515197,3.631183259965907,1.222133101545591,1.8649791538156069,0.7860596334366953,0.9801444727136049,0.8698539878479856,0.12733038351244869,0.22494873018515665
extended_aft_step_seed_102,1.0,outputs/lambda_experiments/extended_aft_step_seed_102/lambda_1.0/result.json,1.237085987683165,0.45711636668556094,3.711257963049495,1.3713491000566829,1.9939881295136637,0.7587823740762485,0.9584874594595832,0.9474644512147927,0.19374516605120023,0.23013948279068985
extended_aft_step_seed_103,1.0,outputs/lambda_experiments/extended_aft_step_seed_103/lambda_1.0/result.json,0.2792339715988057,0.02256025420921463,0.8377019147964171,0.06768076262764389,0.2085696053948591,0.29687453385360235,0.3322577755479557,0.008314490975626601,0.0272501970356841,0.03211607461633318
extended_aft_step_seed_104,1.0,outputs/lambda_experiments/extended_aft_step_seed_104/lambda_1.0/result.json,0.5740842264509821,0.08926131397682192,1.7222526793529462,0.2677839419304658,1.0313891226950602,0.4628791175827488,0.22798443907513705,0.21277805654873677,0.04557149517246278,0.009434390209266218
extended_aft_step_seed_105,1.0,outputs/lambda_experiments/extended_aft_step_seed_105/lambda_1.0/result.json,0.7994856383517766,0.14182784925245207,2.3984569150553297,0.4254835477573562,0.7840749739202284,0.7432868373627799,0.8710951037723214,0.14667961883426536,0.11347892110871213,0.1653250078143787
extended_aft_step_seed_106,1.0,outputs/lambda_experiments/extended_aft_step_seed_106/lambda_1.0/result.json,0.36261895933600724,0.03261395429481623,1.0878568780080218,0.09784186288444868,0.4578096649725778,0.24105793990233923,0.3889892731331048,0.046617519808960346,0.01279577716905007,0.038428565906438276
extended_aft_step_seed_107,1.0,outputs/lambda_experiments/extended_aft_step_seed_107/lambda_1.0/result.json,0.3602777865174402,0.03388576833697991,1.0808333595523205,0.10165730501093974,0.2862618686073305,0.30404997879687057,0.49052151214811934,0.021389414193469014,0.025912605433305914,0.054355285384164814
extended_aft_step_seed_108,1.0,outputs/lambda_experiments/extended_aft_step_seed_108/lambda_1.0/result.json,0.42963207392212127,0.04868604748888222,1.2888962217663638,0.14605814246664667,0.3650449662191801,0.6216552490505939,0.3021960064965898,0.04618011329822932,0.07574347598957501,0.024134553178842322
extended_aft_step_seed_109,1.0,outputs/lambda_experiments/extended_aft_step_seed_109/lambda_1.0/result.json,0.7352462790200187,0.12429344675277011,2.205738837060056,0.37288034025831035,1.0424599270892014,0.6088229022227569,0.5544560077480976,0.22330104777911736,0.07944488807208398,0.07013440440710898
extended_aft_step_seed_110,1.0,outputs/lambda_experiments/extended_aft_step_seed_110/lambda_1.0/result.json,0.4439685668961741,0.05289776695295417,1.3319057006885222,0.15869330085886252,0.5534825988848283,0.31797007245766223,0.4604530293460316,0.09149378240534817,0.024643555735987307,0.042555962717527034
extended_aft_step_seed_111,1.0,outputs/lambda_experiments/extended_aft_step_seed_111/lambda_1.0/result.json,1.7269062873978651,1.0217905463206565,5.180718862193595,3.0653716389619694,3.169390008523754,1.2918284461420582,0.7195004075277829,2.442587437459059,0.45415678171849677,0.16862741978441378
extended_aft_step_seed_112,1.0,outputs/lambda_experiments/extended_aft_step_seed_112/lambda_1.0/result.json,0.7041115502639667,0.13746710693239597,2.1123346507919,0.41240132079718794,1.0278822205561473,0.3096807710313439,0.7747716592044088,0.24038731269968638,0.022781925179129713,0.14923208291837187
extended_aft_step_seed_113,1.0,outputs/lambda_experiments/extended_aft_step_seed_113/lambda_1.0/result.json,0.5879294649127332,0.09257303949870306,1.7637883947381998,0.2777191184961092,0.6537395490198334,0.4459756576866907,0.6640731880316757,0.14171151278443395,0.046885328799899616,0.08912227691177563
extended_aft_step_seed_114,1.0,outputs/lambda_experiments/extended_aft_step_seed_114/lambda_1.0/result.json,0.5145714828688238,0.06661898309739457,1.5437144486064716,0.1998569492921837,0.5368228052785905,0.5155595657797692,0.4913320775481117,0.077662655411195,0.06777802276529316,0.05441627111569556
extended_aft_step_seed_115,1.0,outputs/lambda_experiments/extended_aft_step_seed_115/lambda_1.0/result.json,0.5361134240783659,0.07957139420589415,1.608340272235098,0.23871418261768246,0.6109710692936348,0.33974227221354447,0.6576269307279187,0.07923331677281084,0.030102922172595737,0.1293779436722759
extended_aft_step_seed_116,1.0,outputs/lambda_experiments/extended_aft_step_seed_116/lambda_1.0/result.json,0.8157750752594062,0.1983469152361207,2.4473252257782185,0.5950407457083621,0.7815472699110371,1.1567850630261534,0.5089928928410279,0.17992383307031812,0.31128577094110316,0.10383114169694084
