data_name,data_path,n_samples,n_features,n_events,c_td_cox,c_index_harrell,admm_best_c_td,admm_median_c_td,admm_mean_c_td,delta_best_admm_minus_cox,delta_median_admm_minus_cox
extended_aft_step_seed_100,data/extended_aft_step/extended_aft_step_seed_100.csv,1000,3,879,0.6937639039850472,0.6937639039850472,0.7057810103308514,0.702948914600327,0.7029165154080614,0.012017106345804218,0.009185010615279876
extended_aft_step_seed_101,data/extended_aft_step/extended_aft_step_seed_101.csv,1000,3,849,0.7015218901018759,0.7015218901018759,0.7070387161139257,0.7062786929239997,0.7063871598454163,0.005516826012049725,0.004756802822123762
extended_aft_step_seed_102,data/extended_aft_step/extended_aft_step_seed_102.csv,1000,3,850,0.6976786573690085,0.6976786573690085,0.714039668642931,0.7126470678585691,0.7118629215190774,0.016361011273922532,0.014968410489560657
extended_aft_step_seed_103,data/extended_aft_step/extended_aft_step_seed_103.csv,1000,3,867,0.7059705842193325,0.7059705842193325,0.7239595752095522,0.7190684934856906,0.7192220906135101,0.017988990990219778,0.013097909266358121
extended_aft_step_seed_104,data/extended_aft_step/extended_aft_step_seed_104.csv,1000,3,867,0.692406138997634,0.692406138997634,0.7016052610663563,0.7002663547307005,0.6999846942294242,0.00919912206872231,0.0078602157330665
extended_aft_step_seed_105,data/extended_aft_step/extended_aft_step_seed_105.csv,1000,3,855,0.7019843038782262,0.7019843038782262,0.7085952420875269,0.7071883984475644,0.7068676828686867,0.0066109382093006985,0.005204094569338236
extended_aft_step_seed_106,data/extended_aft_step/extended_aft_step_seed_106.csv,1000,3,861,0.7168676666312841,0.7168676666312841,0.7281213511770134,0.7264576920250508,0.7262560331146063,0.011253684545729281,0.009590025393766743
extended_aft_step_seed_107,data/extended_aft_step/extended_aft_step_seed_107.csv,1000,3,871,0.7192563881243588,0.7192563881243588,0.7279204599123821,0.7268578082504112,0.7264980195550192,0.008664071788023309,0.007601420126052472
extended_aft_step_seed_108,data/extended_aft_step/extended_aft_step_seed_108.csv,1000,3,864,0.6898716492248576,0.6898716492248576,0.6990681158563075,0.6947156519415782,0.6954189850340979,0.009196466631449907,0.004844002716720697
extended_aft_step_seed_109,data/extended_aft_step/extended_aft_step_seed_109.csv,1000,3,857,0.6883991923617696,0.6883991923617696,0.6995123925056403,0.6978815845404309,0.6972973246230706,0.011113200143870738,0.009482392178661314
extended_aft_step_seed_110,data/extended_aft_step/extended_aft_step_seed_110.csv,1000,3,866,0.6865853583957958,0.6865853583957958,0.6928883461995552,0.6894351568918035,0.6896200150654583,0.0063029878037593745,0.0028497984960076383
extended_aft_step_seed_111,data/extended_aft_step/extended_aft_step_seed_111.csv,1000,3,880,0.6997731201163445,0.6997731201163445,0.7097034312281778,0.7087853496936004,0.7084365257477078,0.00993031111183329,0.009012229577255892
extended_aft_step_seed_112,data/extended_aft_step/extended_aft_step_seed_112.csv,1000,3,858,0.7035428333268637,0.7035428333268637,0.709404311220164,0.7079271942745885,0.7067349199284765,0.005861477893300271,0.004384360947724764
extended_aft_step_seed_113,data/extended_aft_step/extended_aft_step_seed_113.csv,1000,3,861,0.6889985751670811,0.6889985751670811,0.703177499887728,0.7015771144887952,0.7011082582937803,0.014178924720646968,0.012578539321714155
extended_aft_step_seed_114,data/extended_aft_step/extended_aft_step_seed_114.csv,1000,3,850,0.7087252582967264,0.7087252582967264,0.7170276165023193,0.7159544947214287,0.715991465469806,0.008302358205592886,0.007229236424702301
extended_aft_step_seed_115,data/extended_aft_step/extended_aft_step_seed_115.csv,1000,3,856,0.6997902603960112,0.6997902603960112,0.7066916337202409,0.705046015969647,0.7049776951280892,0.006901373324229687,0.005255755573635779
extended_aft_step_seed_116,data/extended_aft_step/extended_aft_step_seed_116.csv,1000,3,855,0.6967715946130535,0.6967715946130535,0.7062453735323106,0.7048446529280172,0.7046246703759484,0.009473778919257159,0.008073058314963744
extended_aft_step_seed_117,data/extended_aft_step/extended_aft_step_seed_117.csv,1000,3,850,0.6995113639621706,0.6995113639621706,0.710215892754015,0.7087925815792815,0.7088257795983514,0.010704528791844359,0.00928121761711087
extended_aft_step_seed_118,data/extended_aft_step/extended_aft_step_seed_118.csv,1000,3,886,0.6890662047619723,0.6890662047619723,0.6996152371757557,0.6988668055355546,0.6984960591247118,0.010549032413783355,0.009800600773582246
extended_aft_step_seed_119,data/extended_aft_step/extended_aft_step_seed_119.csv,1000,3,859,0.7092492927972549,0.7092492927972549,0.7185486259331502,0.7181462607612259,0.7175383593326307,0.00929933313589526,0.008896967963970992
extended_aft_step_seed_120,data/extended_aft_step/extended_aft_step_seed_120.csv,1000,3,855,0.692853666616227,0.692853666616227,0.7013990847262154,0.6999124805228266,0.6999174312064838,0.008545418109988323,0.00705881390659957
extended_aft_step_seed_121,data/extended_aft_step/extended_aft_step_seed_121.csv,1000,3,856,0.7055531138526324,0.7055531138526324,0.7133947279659024,0.7130288132301685,0.7125727377921279,0.007841614113270001,0.007475699377536116
extended_aft_step_seed_122,data/extended_aft_step/extended_aft_step_seed_122.csv,1000,3,882,0.6929503290956266,0.6929503290956266,0.6986064698454205,0.6976685168567612,0.6975567489339841,0.005656140749793925,0.00471818776113464
extended_aft_step_seed_123,data/extended_aft_step/extended_aft_step_seed_123.csv,1000,3,867,0.6943445290639972,0.6943445290639972,0.7013794775959714,0.7002891828495618,0.7001792416675577,0.007034948531974172,0.005944653785564524
extended_aft_step_seed_124,data/extended_aft_step/extended_aft_step_seed_124.csv,1000,3,874,0.706282368927457,0.706282368927457,0.716642459896094,0.7127531031452529,0.7130389593037186,0.010360090968636992,0.0064707342177958704
extended_aft_step_seed_125,data/extended_aft_step/extended_aft_step_seed_125.csv,1000,3,866,0.6902322035383979,0.6902322035383979,0.6962008802167314,0.6952366780074242,0.6950902291350859,0.005968676678333562,0.005004474469026299
extended_aft_step_seed_126,data/extended_aft_step/extended_aft_step_seed_126.csv,1000,3,864,0.7080110790216523,0.7080110790216523,0.7151414655636595,0.7127959436748413,0.7129909923371747,0.007130386542007261,0.004784864653189058
extended_aft_step_seed_127,data/extended_aft_step/extended_aft_step_seed_127.csv,1000,3,861,0.7111438177338393,0.7111438177338393,0.7186007916272861,0.7149692677957936,0.7157868736760238,0.007456973893446794,0.0038254500619543386
extended_aft_step_seed_128,data/extended_aft_step/extended_aft_step_seed_128.csv,1000,3,856,0.6938603628097518,0.6938603628097518,0.7070211087080064,0.7052201430142565,0.7050440165526597,0.013160745898254556,0.011359780204504677
extended_aft_step_seed_129,data/extended_aft_step/extended_aft_step_seed_129.csv,1000,3,869,0.7021036508363275,0.7021036508363275,0.7118092048981987,0.7105789520853193,0.7099553567025623,0.009705554061871124,0.008475301248991762
extended_aft_step_seed_130,data/extended_aft_step/extended_aft_step_seed_130.csv,1000,3,864,0.7021650230983387,0.7021650230983387,0.7120896603065502,0.7113492897133359,0.7110624591746859,0.009924637208211462,0.00918426661499716
extended_aft_step_seed_131,data/extended_aft_step/extended_aft_step_seed_131.csv,1000,3,857,0.7007489909569304,0.7007489909569304,0.7092157563991213,0.7072926991263475,0.7074957715650184,0.008466765442190827,0.006543708169417073
extended_aft_step_seed_132,data/extended_aft_step/extended_aft_step_seed_132.csv,1000,3,879,0.6964267574672804,0.6964267574672804,0.7031494431283953,0.7019771887837404,0.7016901933754531,0.006722685661114891,0.005550431316459936
extended_aft_step_seed_133,data/extended_aft_step/extended_aft_step_seed_133.csv,1000,3,873,0.719948318310375,0.719948318310375,0.7270738803996175,0.724196797363013,0.7244719118691187,0.007125562089242532,0.004248479052638032
extended_aft_step_seed_134,data/extended_aft_step/extended_aft_step_seed_134.csv,1000,3,871,0.7033457173393048,0.7033457173393048,0.7136607460939488,0.7125166675148863,0.7125553463280574,0.010315028754643962,0.00917095017558145
