data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,n_params,result_path,bic,rho,max_admm_iter,clip_eta
extended_aft_step_seed_137,0.0,0.0,1000,3,993.1751482632501,993.1751482632501,0.0,4.8225499982553684e-05,0.8341977458077522,15,outputs/lambda_experiments/extended_aft_step_seed_137/lambda_0.0/result.json,2089.966625711232,1.0,1000,20
extended_aft_step_seed_103,0.0,0.0,1000,3,994.1901916240247,994.1901916240247,0.0,0.00014500012934132015,0.8181838428831747,15,outputs/lambda_experiments/extended_aft_step_seed_103/lambda_0.0/result.json,2091.9967124327814,1.0,1000,20
extended_aft_step_seed_107,0.0,0.0,1000,3,994.9284093681409,994.9284093681409,0.0,0.000412675587671486,0.8298640844470238,15,outputs/lambda_experiments/extended_aft_step_seed_107/lambda_0.0/result.json,2093.473147921014,1.0,1000,20
extended_aft_step_seed_138,0.0,0.0,1000,3,995.0463628456251,995.0463628456251,0.0,0.0002957700051229966,0.814789255544144,15,outputs/lambda_experiments/extended_aft_step_seed_138/lambda_0.0/result.json,2093.7090548759825,1.0,1000,20
extended_aft_step_seed_73,0.0,0.0,1000,3,996.223640666962,996.223640666962,0.0,0.0003050279430387204,0.8280407247431394,15,outputs/lambda_experiments/extended_aft_step_seed_73/lambda_0.0/result.json,2096.063610518656,1.0,1000,20
extended_aft_step_seed_125,0.0,0.0,1000,3,1001.1648632110166,1001.1648632110166,0.0,0.00011120942591614128,0.8302936630602782,15,outputs/lambda_experiments/extended_aft_step_seed_125/lambda_0.0/result.json,2105.946055606765,1.0,1000,20
extended_aft_step_seed_49,0.0,0.0,1000,3,1004.5098941571617,1004.5098941571617,0.0,8.959451389768022e-05,0.825647966078379,15,outputs/lambda_experiments/extended_aft_step_seed_49/lambda_0.0/result.json,2112.6361174990557,1.0,1000,20
extended_aft_step_seed_117,0.0,0.0,1000,3,1005.4263194153748,1005.4263194153748,0.0,0.0003370144028863555,0.8245660371225173,15,outputs/lambda_experiments/extended_aft_step_seed_117/lambda_0.0/result.json,2114.4689680154816,1.0,1000,20
extended_aft_step_seed_122,0.0,0.0,1000,3,1009.7670422632242,1009.7670422632242,0.0,0.0003832657024524417,0.8252722958035008,15,outputs/lambda_experiments/extended_aft_step_seed_122/lambda_0.0/result.json,2123.1504137111806,1.0,1000,20
extended_aft_step_seed_53,0.0,0.0,1000,3,1011.399807524895,1011.399807524895,0.0,0.0003831070979543747,0.8312229243347122,15,outputs/lambda_experiments/extended_aft_step_seed_53/lambda_0.0/result.json,2126.415944234522,1.0,1000,20
extended_aft_step_seed_78,0.0,0.0,1000,3,1015.3860663725203,1015.3860663725203,0.0,0.00033403861048625306,0.8235130661950234,15,outputs/lambda_experiments/extended_aft_step_seed_78/lambda_0.0/result.json,2134.388461929773,1.0,1000,20
extended_aft_step_seed_118,0.0,0.0,1000,3,1017.5681566151443,1017.5681566151443,0.0,0.0003853986323179746,0.8362974700924941,15,outputs/lambda_experiments/extended_aft_step_seed_118/lambda_0.0/result.json,2138.7526424150205,1.0,1000,20
extended_aft_step_seed_88,0.0,0.0,1000,3,1017.6852089048684,1017.6852089048684,0.0,0.0,0.8166828518658933,15,outputs/lambda_experiments/extended_aft_step_seed_88/lambda_0.0/result.json,2138.986746994469,1.0,1000,20
extended_aft_step_seed_134,0.0,0.0,1000,3,1019.364406143284,1019.364406143284,0.0,0.00016769934414331155,0.830091372039629,15,outputs/lambda_experiments/extended_aft_step_seed_134/lambda_0.0/result.json,2142.3451414713,1.0,1000,20
extended_aft_step_seed_72,0.0,0.0,1000,3,1019.4382384204224,1019.4382384204224,0.0,0.0003379772473831767,0.8277454432814895,15,outputs/lambda_experiments/extended_aft_step_seed_72/lambda_0.0/result.json,2142.492806025577,1.0,1000,20
extended_aft_step_seed_136,0.0,0.0,1000,3,1019.5894567576407,1019.5894567576407,0.0,0.0003603198002972073,0.8250262654671595,15,outputs/lambda_experiments/extended_aft_step_seed_136/lambda_0.0/result.json,2142.7952427000137,1.0,1000,20
extended_aft_step_seed_44,0.0,0.0,1000,3,1022.7758805061127,1022.7758805061127,0.0,0.0001650804124606418,0.8230729142375102,15,outputs/lambda_experiments/extended_aft_step_seed_44/lambda_0.0/result.json,2149.1680901969576,1.0,1000,20
extended_aft_step_seed_98,0.0,0.0,1000,3,1024.640232254107,1024.640232254107,0.0,0.0,0.8237331558137658,15,outputs/lambda_experiments/extended_aft_step_seed_98/lambda_0.0/result.json,2152.896793692946,1.0,1000,20
extended_aft_step_seed_140,0.0,0.0,1000,3,1025.555588668379,1025.555588668379,0.0,0.0,0.8191770601878132,15,outputs/lambda_experiments/extended_aft_step_seed_140/lambda_0.0/result.json,2154.72750652149,1.0,1000,20
extended_aft_step_seed_92,0.0,0.0,1000,3,1028.6453840326064,1028.6453840326064,0.0,0.00031851863546976633,0.8235106391628519,15,outputs/lambda_experiments/extended_aft_step_seed_92/lambda_0.0/result.json,2160.907097249945,1.0,1000,20
extended_aft_step_seed_108,0.0,0.0,1000,3,1033.542857330855,1033.542857330855,0.0,0.0004003101572258053,0.8276802777358983,15,outputs/lambda_experiments/extended_aft_step_seed_108/lambda_0.0/result.json,2170.702043846442,1.0,1000,20
extended_aft_step_seed_139,0.0,0.0,1000,3,1035.1795826903367,1035.1795826903367,0.0,0.00037650992974104855,0.8329751647237709,15,outputs/lambda_experiments/extended_aft_step_seed_139/lambda_0.0/result.json,2173.9754945654054,1.0,1000,20
extended_aft_step_seed_123,0.0,0.0,1000,3,1039.6884972204741,1039.6884972204741,0.0,0.00021185238045083422,0.8260519853513185,15,outputs/lambda_experiments/extended_aft_step_seed_123/lambda_0.0/result.json,2182.99332362568,1.0,1000,20
