data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,bic,rho,max_admm_iter,clip_eta
small_seed_43,16.0,16000.0,1000,1000,3,33313.45020120725,1620.610964489905,0.4694248119300602,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_43/lambda_16.0/result.json,3317.2072370486135,1.0,1000,20
fine_grid_seed_56,8.0,8000.0,1000,1000,3,33605.977656579926,1532.9188451842774,1.1708267335424647,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_56/lambda_8.0/result.json,3141.8229984373584,1.0,1000,20
no_change_seed_47,1.0,1000.0,1000,1000,3,33778.72219977312,1977.762039246129,8.195133347499784,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_47/lambda_1.0/result.json,4031.5093865610615,1.0,1000,20
no_change_seed_43,16.0,16000.0,1000,1000,3,33872.42157890483,1669.9818520204847,0.4474166099577668,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_43/lambda_16.0/result.json,3415.949012109773,1.0,1000,20
off_grid_seed_59,16.0,16000.0,1000,1000,3,33914.22494411089,1572.0019788957577,0.5347206979068418,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_59/lambda_16.0/result.json,3219.989265860319,1.0,1000,20
oracle_seed_60,32.0,32000.0,1000,1000,3,34132.28917978761,1539.7177927288928,0.3351653790672074,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_60/lambda_32.0/result.json,3155.420893526589,1.0,1000,20
small_seed_58,8.0,8000.0,1000,1000,3,34347.26560675745,1632.7095401558706,1.017300624418511,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_58/lambda_8.0/result.json,3341.404388380545,1.0,1000,20
no_change_seed_57,16.0,16000.0,1000,1000,3,34455.818233452075,1679.303503585398,0.47979529364866047,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_57/lambda_16.0/result.json,3434.5923152395994,1.0,1000,20
small_seed_45,16.0,16000.0,1000,1000,3,34497.18866569241,1630.641006393487,0.48221619457971604,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_45/lambda_16.0/result.json,3337.2673208557776,1.0,1000,20
off_grid_seed_58,16.0,16000.0,1000,1000,3,34575.82936511561,1570.9206492242981,0.457978342363181,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_58/lambda_16.0/result.json,3217.8266065174,1.0,1000,20
small_seed_49,16.0,16000.0,1000,1000,3,34708.57382567516,1632.8926439296145,0.49133079571216104,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_49/lambda_16.0/result.json,3341.7705959280324,1.0,1000,20
off_grid_seed_55,8.0,8000.0,1000,1000,3,36035.16693888313,1558.2377022049081,1.069647150235769,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_55/lambda_8.0/result.json,3192.46071247862,1.0,1000,20
no_change_seed_59,8.0,8000.0,1000,1000,3,37497.27618791838,1679.3767037547925,1.1814439555327836,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_59/lambda_8.0/result.json,3434.7387155783886,1.0,1000,20
fine_grid_seed_55,32.0,32000.0,1000,1000,3,37609.748068548586,1518.8950190403887,0.24360131690498596,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_55/lambda_32.0/result.json,3113.775346149581,1.0,1000,20
off_grid_seed_53,8.0,8000.0,1000,1000,3,37633.15467126105,1601.5315229614685,1.1222221725603962,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_53/lambda_8.0/result.json,3279.0483539917404,1.0,1000,20
fine_grid_seed_45,16.0,16000.0,1000,1000,3,38081.39703000183,1538.5361009316198,0.5574809078509979,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_45/lambda_16.0/result.json,3153.057509932043,1.0,1000,20
oracle_seed_42,64.0,64000.0,1000,1000,3,38085.62939021297,1543.7293568512152,0.173598108474056,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_42/lambda_64.0/result.json,3163.444021771234,1.0,1000,20
fine_grid_seed_57,4.0,4000.0,1000,1000,3,38345.30919248222,1653.32660031653,2.2332441472467233,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_57/lambda_4.0/result.json,3382.6385087018634,1.0,1000,20
oracle_seed_50,64.0,64000.0,1000,1000,3,38398.42426272488,1589.3667942564014,0.18456688676358288,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_50/lambda_64.0/result.json,3254.7188965816063,1.0,1000,20
small_seed_55,16.0,16000.0,1000,1000,3,38709.857758154874,1585.3875042819827,0.612410295261643,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_55/lambda_16.0/result.json,3246.760316632769,1.0,1000,20
oracle_seed_43,64.0,64000.0,1000,1000,3,38980.15110931598,1560.1590490946817,0.17662107257136586,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_43/lambda_64.0/result.json,3196.303406258167,1.0,1000,20
small_seed_50,16.0,16000.0,1000,1000,3,39040.03309471507,1647.5972302492487,0.6297244877448857,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_50/lambda_16.0/result.json,3371.179768567301,1.0,1000,20
no_change_seed_60,16.0,16000.0,1000,1000,3,39257.5647106262,1663.548049007682,0.597841003849819,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_60/lambda_16.0/result.json,3403.0814060841676,1.0,1000,20
no_change_seed_61,16.0,16000.0,1000,1000,3,39719.38950526941,1618.4766625235923,0.6282291912474871,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_61/lambda_16.0/result.json,3312.938633115988,1.0,1000,20
small_seed_52,16.0,16000.0,1000,1000,3,39832.847258957554,1604.979780697422,0.7181006902609195,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_52/lambda_16.0/result.json,3285.9448694636476,1.0,1000,20
small_seed_57,16.0,16000.0,1000,1000,3,40029.36984076397,1660.7375785768736,0.5545213886448419,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_57/lambda_16.0/result.json,3397.4604652225507,1.0,1000,20
small_seed_54,16.0,16000.0,1000,1000,3,40150.950645532364,1582.0921709399433,0.577286068432357,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_54/lambda_16.0/result.json,3240.16964994869,1.0,1000,20
no_change_seed_51,16.0,16000.0,1000,1000,3,40663.149850615184,1668.8667060938537,0.6540370453472237,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_51/lambda_16.0/result.json,3413.718720256511,1.0,1000,20
no_change_seed_56,16.0,16000.0,1000,1000,3,40676.69239432946,1644.8771450285005,0.6481305322416818,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_56/lambda_16.0/result.json,3365.7395981258046,1.0,1000,20
oracle_seed_53,64.0,64000.0,1000,1000,3,40767.42878015801,1541.4003087833373,0.19486786547938487,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_53/lambda_64.0/result.json,3158.785925635478,1.0,1000,20
oracle_seed_44,32.0,32000.0,1000,1000,3,41210.06861489772,1551.5492916193612,0.43642407419851287,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_44/lambda_32.0/result.json,3179.083891307526,1.0,1000,20
off_grid_seed_57,8.0,8000.0,1000,1000,3,41383.580890336976,1627.3057541981523,1.3496402801603753,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_57/lambda_8.0/result.json,3330.596816465108,1.0,1000,20
off_grid_seed_50,32.0,32000.0,1000,1000,3,41468.21762865402,1601.9159445517978,0.2768545431227734,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_50/lambda_32.0/result.json,3279.817197172399,1.0,1000,20
small_seed_60,16.0,16000.0,1000,1000,3,41561.18237359669,1639.675481886568,0.682099514517162,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_60/lambda_16.0/result.json,3355.3362718419394,1.0,1000,20
off_grid_seed_43,8.0,8000.0,1000,1000,3,41770.78312850203,1604.2696405277975,1.17546023124223,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_43/lambda_8.0/result.json,3284.5245891243985,1.0,1000,20
oracle_seed_61,64.0,64000.0,1000,1000,3,41970.849809550535,1494.1725998506136,0.22386207619618703,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_61/lambda_64.0/result.json,3064.3305077700306,1.0,1000,20
off_grid_seed_49,16.0,16000.0,1000,1000,3,42312.6155679975,1573.6125165566546,0.5946251733008647,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_49/lambda_16.0/result.json,3223.2103411821126,1.0,1000,20
