scenario,n,lambda_mean,lambda_median,lambda_zero_rate,c_td_test_mean,c_td_test_sd,c_td_gap_mean,change_points_mean,change_points_sd,primal_residual_median,residual_screen_pass_rate
oracle,20,0.175,0.25,0.3,0.7010737793755796,0.008166330626665939,0.005444100959690062,4.5,7.052435189724409,0.18971737612148382,0.3
fine_grid,20,0.225,0.25,0.1,0.7014961122462651,0.0076309240714661514,0.005437238459848975,3.3,10.157185685643025,0.3954954856536641,0.1
off_grid,20,0.25,0.25,0.0,0.6942165200207786,0.008013330841657439,0.005703583391610712,0.0,0.0,0.7018813548932956,0.0
small,20,0.25,0.25,0.0,0.6837235189389744,0.00745748149528546,0.004510001769273786,0.0,0.0,0.594848181847,0.0
no_change,20,0.2375,0.25,0.05,0.6677013485409664,0.008523624933261009,0.004050532305555188,1.65,7.379024325749306,0.6381798617445844,0.05
