scenario,lambda_fuse,n,c_td_test_mean,c_td_test_sd,c_td_train_mean,c_td_gap_mean,change_points_mean,change_points_sd,bic_mean,delta_bic_mean,delta_bic_median,primal_residual_median,primal_residual_q25,primal_residual_q75,dual_residual_median,residual_screen_pass_rate,c_td_test_se,change_points_se
oracle,0.0,20,0.7002529798567114,0.006959318055013401,0.7071686389062715,0.00691565904956013,15.0,0.0,3226.76324081736,47.40050740224001,18.567767033278415,0.0,0.0,0.0,5.75279078444e-05,1.0,0.0015561508248051585,0.0
oracle,0.25,20,0.7010150814102535,0.008323476354482317,0.7053678560084836,0.004352774598230025,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0018611858937734595,0.0
oracle,0.5,20,0.7010015289787563,0.00831354867673074,0.7053684689232023,0.004366939944445769,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0018589659975423356,0.0
oracle,1.0,20,0.7009119552933396,0.008347553699986982,0.7052753985352035,0.00436344324186389,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0018665697519000776,0.0
oracle,2.0,20,0.6395525196381295,0.09393244242859151,0.6444586173348894,0.004906097696759815,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.021003932656291604,0.0
oracle,4.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
oracle,8.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
oracle,16.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
oracle,32.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
oracle,64.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
oracle,128.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
oracle,256.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3182.7526405013546,3.3899070862345524,0.0,0.22671793558831277,0.17586533154703834,0.30208566405465764,0.0,0.0,0.0,0.0
fine_grid,0.0,20,0.6999270766701079,0.006709673473057582,0.7077395655567719,0.0078124888866639595,33.0,0.0,3326.072548944963,147.81305717175726,159.04850707338483,0.0,0.0,0.0,0.0,1.0,0.0015003285992583857,0.0
fine_grid,0.25,20,0.7013010790749703,0.007892324897132711,0.7068323971294266,0.005531318054456192,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0017647774970502776,0.0
fine_grid,0.5,20,0.7012725778617052,0.007885559232275829,0.7068257558102563,0.0055531779485512075,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0017632646483969807,0.0
fine_grid,1.0,20,0.5711633686750968,0.099610958605336,0.5739335315149956,0.0027701628398988263,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.022273687474544893,0.0
fine_grid,2.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,4.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,8.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,16.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,32.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,64.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,128.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
fine_grid,256.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3183.7602802072724,5.50078843406668,0.0,0.46529778693621104,0.3709448357039301,0.9082920232250213,0.0,0.0,0.0,0.0
off_grid,0.0,20,0.6932215003147999,0.007798873889486402,0.7004161939526663,0.007194693637866273,33.0,0.0,3415.0763272392605,194.7276880151335,162.56870540937985,0.0,0.0,0.0,0.0,1.0,0.0017438812164839775,0.0
off_grid,0.25,20,0.6942165200207786,0.008013330841657462,0.6999201034123894,0.005703583391610712,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0017918352488141686,0.0
off_grid,0.5,20,0.6940025944872381,0.00833638644619446,0.6994705847472368,0.005467990259998595,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0018640726780398704,0.0
off_grid,1.0,20,0.585512609142481,0.09710897938284807,0.591425804336161,0.005913195193679976,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.021714227912567385,0.0
off_grid,2.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
off_grid,4.0,20,0.5,0.0,0.5,0.0,0.0,0.0,3220.348639224127,0.0,0.0,0.7018813548932956,0.5155351090209266,1.0758257121396078,0.0,0.0,0.0,0.0
