data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,bic,rho,max_admm_iter,clip_eta,scenario,seed,c_td_gap,residual_screen_pass,delta_bic
fine_grid_seed_42,0.25,250.0,1000,1000,3,2316.2427447561176,1520.8317313926616,0.6816409367033102,0.0,0.6974053568145137,0.7220404131636632,0.6974053568145137,0,11,outputs/pilot/fine_grid_seed_42/lambda_0.25/result.json,3117.6487708541267,1.0,1000,20,fine_grid,42,0.02463505634914953,False,0.0
fine_grid_seed_43,0.25,250.0,1000,1000,3,1958.472058668908,1542.0509186217776,0.3937582514772275,0.0,0.7147309798229771,0.7043441965527966,0.7147309798229771,0,11,outputs/pilot/fine_grid_seed_43/lambda_0.25/result.json,3160.087145312358,1.0,1000,20,fine_grid,43,-0.0103867832701805,False,0.0
fine_grid_seed_44,0.25,250.0,1000,1000,3,2451.2149041813827,1557.0259748825224,0.9465498175814452,0.0,0.7000531664724046,0.6945634623353454,0.7000531664724046,0,11,outputs/pilot/fine_grid_seed_44/lambda_0.25/result.json,3190.0372578338483,1.0,1000,20,fine_grid,44,-0.0054897041370591815,False,0.0
fine_grid_seed_45,0.25,250.0,1000,1000,3,2109.518302948342,1538.5361009316198,0.5574809078509979,0.0,0.7055698259914323,0.690332630807294,0.7055698259914323,0,11,outputs/pilot/fine_grid_seed_45/lambda_0.25/result.json,3153.057509932043,1.0,1000,20,fine_grid,45,-0.015237195184138241,False,0.0
fine_grid_seed_46,0.25,250.0,1000,1000,3,1980.3324908486104,1553.1178091788447,0.4911486781113058,0.0,0.6881797606182329,0.7115428949145488,0.6881797606182329,0,11,outputs/pilot/fine_grid_seed_46/lambda_0.25/result.json,3182.220926426493,1.0,1000,20,fine_grid,46,0.02336313429631587,False,0.0
fine_grid_seed_47,0.25,250.0,1000,1000,3,1915.5467901877523,1574.8011461677731,0.3068350569335119,0.0,0.687827042932418,0.6971991857813603,0.687827042932418,0,11,outputs/pilot/fine_grid_seed_47/lambda_0.25/result.json,3225.58760040435,1.0,1000,20,fine_grid,47,0.009372142848942278,False,0.0
fine_grid_seed_48,0.25,250.0,1000,1000,3,1937.6265759023456,1567.2275391793678,0.3423240214855209,0.0,0.7116054506977106,0.7102356398980775,0.7116054506977106,0,11,outputs/pilot/fine_grid_seed_48/lambda_0.25/result.json,3210.440386427539,1.0,1000,20,fine_grid,48,-0.0013698107996331643,False,0.0
fine_grid_seed_49,0.25,250.0,1000,1000,3,2448.491824484104,1567.0400094002378,0.9023038917155024,0.0,0.6919111436741257,0.7064254642472937,0.6919111436741257,0,11,outputs/pilot/fine_grid_seed_49/lambda_0.25/result.json,3210.065326869279,1.0,1000,20,fine_grid,49,0.014514320573168038,False,0.0
fine_grid_seed_50,0.25,250.0,1000,1000,3,1922.2864009164869,1576.9344057413018,0.3972327198301008,0.0,0.6982785002264594,0.7101233295923561,0.6982785002264594,0,11,outputs/pilot/fine_grid_seed_50/lambda_0.25/result.json,3229.854119551407,1.0,1000,20,fine_grid,50,0.011844829365896703,False,0.0
fine_grid_seed_51,0.0,0.0,1000,1000,3,1470.8160875875217,1470.8160875875217,0.0,0.0004285647944143,0.6944781448230442,0.7143840429040538,0.6944781448230442,33,44,outputs/pilot/fine_grid_seed_51/lambda_0.0/result.json,3245.573407450257,1.0,1000,20,fine_grid,51,0.01990589808100962,True,0.0
fine_grid_seed_52,0.25,250.0,1000,1000,3,2014.552039720596,1519.8309155720078,0.4394468957611163,0.0,0.7050408094641274,0.7160496353890582,0.7050408094641274,0,11,outputs/pilot/fine_grid_seed_52/lambda_0.25/result.json,3115.647139212819,1.0,1000,20,fine_grid,52,0.011008825924930798,False,0.0
fine_grid_seed_53,0.25,250.0,1000,1000,3,1932.5797280104248,1548.1528800731144,0.3863562819497121,0.0,0.6976286445012788,0.7024769325404963,0.6976286445012788,0,11,outputs/pilot/fine_grid_seed_53/lambda_0.25/result.json,3172.2910682150323,1.0,1000,20,fine_grid,53,0.004848288039217441,False,0.0
fine_grid_seed_54,0.25,250.0,1000,1000,3,2419.639791484178,1534.4469240878318,0.9262564177535784,0.0,0.6989876975721037,0.7218835452171382,0.6989876975721037,0,11,outputs/pilot/fine_grid_seed_54/lambda_0.25/result.json,3144.879156244467,1.0,1000,20,fine_grid,54,0.022895847645034495,False,0.0
fine_grid_seed_55,0.25,250.0,1000,1000,3,1800.8548084896715,1518.895019040389,0.2436013169049859,0.0,0.7102854767861654,0.7143953581186873,0.7102854767861654,0,11,outputs/pilot/fine_grid_seed_55/lambda_0.25/result.json,3113.775346149581,1.0,1000,20,fine_grid,55,0.004109881332521881,False,0.0
fine_grid_seed_56,0.25,250.0,1000,1000,3,2535.2019330403914,1532.9188451842774,1.1708267335424647,0.0,0.6977236190336296,0.7081692793035143,0.6977236190336296,0,11,outputs/pilot/fine_grid_seed_56/lambda_0.25/result.json,3141.8229984373584,1.0,1000,20,fine_grid,56,0.010445660269884693,False,0.0
